dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,dep,libelle_departement,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,4120.00,30210.00,13932020.00,3620.00,84,Auvergne-Rhône-Alpes,38,Isère,FZ,Construction,2020-07-21
Activite Partielle,5990.00,42615.00,19183575.00,5330.00,84,Auvergne-Rhône-Alpes,38,Isère,GZ,Commerce,2020-07-21
Activite Partielle,935.00,17200.00,7379860.00,805.00,84,Auvergne-Rhône-Alpes,38,Isère,HZ,Transports et entreposage,2020-07-21
Activite Partielle,3275.00,19185.00,8999000.00,2725.00,84,Auvergne-Rhône-Alpes,38,Isère,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,525.00,6985.00,2871815.00,445.00,84,Auvergne-Rhône-Alpes,38,Isère,JZ,Information et communication,2020-07-21
Activite Partielle,780.00,2970.00,1249925.00,695.00,84,Auvergne-Rhône-Alpes,38,Isère,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,475.00,2010.00,759355.00,425.00,84,Auvergne-Rhône-Alpes,38,Isère,LZ,Activités immobilières,2020-07-21
Activite Partielle,4050.00,50110.00,18283045.00,3435.00,84,Auvergne-Rhône-Alpes,38,Isère,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,2215.00,20420.00,4948945.00,1890.00,84,Auvergne-Rhône-Alpes,38,Isère,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,3100.00,15240.00,4088610.00,2415.00,84,Auvergne-Rhône-Alpes,38,Isère,RU,Autres activités de services,2020-07-21
Activite Partielle,100.00,440.00,160460.00,95.00,84,Auvergne-Rhône-Alpes,42,Loire,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,460.00,4165.00,1660385.00,415.00,84,Auvergne-Rhône-Alpes,42,Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,180.00,5835.00,2434400.00,150.00,84,Auvergne-Rhône-Alpes,42,Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,45.00,3380.00,1274880.00,35.00,84,Auvergne-Rhône-Alpes,42,Loire,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,1440.00,27280.00,12209055.00,1190.00,84,Auvergne-Rhône-Alpes,42,Loire,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,120.00,1425.00,595035.00,110.00,84,Auvergne-Rhône-Alpes,42,Loire,DE,Industries extractives,2020-07-21
Activite Partielle,2235.00,15835.00,8145585.00,2055.00,84,Auvergne-Rhône-Alpes,42,Loire,FZ,Construction,2020-07-21
Activite Partielle,3435.00,21805.00,10943995.00,3150.00,84,Auvergne-Rhône-Alpes,42,Loire,GZ,Commerce,2020-07-21
Activite Partielle,440.00,7860.00,3498635.00,400.00,84,Auvergne-Rhône-Alpes,42,Loire,HZ,Transports et entreposage,2020-07-21
Activite Partielle,1550.00,8135.00,4048080.00,1325.00,84,Auvergne-Rhône-Alpes,42,Loire,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,210.00,1555.00,589840.00,175.00,84,Auvergne-Rhône-Alpes,42,Loire,JZ,Information et communication,2020-07-21
Activite Partielle,545.00,3010.00,1432870.00,495.00,84,Auvergne-Rhône-Alpes,42,Loire,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,215.00,1325.00,400165.00,200.00,84,Auvergne-Rhône-Alpes,42,Loire,LZ,Activités immobilières,2020-07-21
Activite Partielle,1950.00,24000.00,8612915.00,1750.00,84,Auvergne-Rhône-Alpes,42,Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,1360.00,13815.00,4722010.00,1190.00,84,Auvergne-Rhône-Alpes,42,Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,1690.00,7740.00,2403835.00,1455.00,84,Auvergne-Rhône-Alpes,42,Loire,RU,Autres activités de services,2020-07-21
Activite Partielle,100.00,395.00,151540.00,95.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,250.00,1945.00,838600.00,240.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,75.00,2035.00,766160.00,65.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,30.00,2060.00,1119865.00,30.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,750.00,20090.00,9239445.00,695.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,85.00,1410.00,622330.00,85.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,DE,Industries extractives,2020-07-21
Activite Partielle,1780.00,13235.00,6633580.00,1700.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,FZ,Construction,2020-07-21
Activite Partielle,2790.00,19130.00,9337850.00,2670.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,GZ,Commerce,2020-07-21
Activite Partielle,420.00,9300.00,4660865.00,395.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,HZ,Transports et entreposage,2020-07-21
Activite Partielle,1575.00,9610.00,5846440.00,1460.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,180.00,2620.00,1357135.00,175.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,JZ,Information et communication,2020-07-21
Activite Partielle,425.00,1580.00,651295.00,410.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,180.00,900.00,426100.00,175.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,LZ,Activités immobilières,2020-07-21
Activite Partielle,1665.00,23980.00,9495580.00,1575.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,965.00,7540.00,2426265.00,900.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,1280.00,6710.00,2507105.00,1200.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,RU,Autres activités de services,2020-07-21
Activite Partielle,165.00,950.00,485805.00,150.00,84,Auvergne-Rhône-Alpes,69,Rhône,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,855.00,5805.00,2594640.00,765.00,84,Auvergne-Rhône-Alpes,69,Rhône,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,435.00,15605.00,6273520.00,365.00,84,Auvergne-Rhône-Alpes,69,Rhône,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,85.00,9925.00,5694745.00,75.00,84,Auvergne-Rhône-Alpes,69,Rhône,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,2315.00,39595.00,18405725.00,1990.00,84,Auvergne-Rhône-Alpes,69,Rhône,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,305.00,5420.00,2264745.00,275.00,84,Auvergne-Rhône-Alpes,69,Rhône,DE,Industries extractives,2020-07-21
Activite Partielle,5530.00,54730.00,28354690.00,4900.00,84,Auvergne-Rhône-Alpes,69,Rhône,FZ,Construction,2020-07-21
Activite Partielle,10290.00,80955.00,40518980.00,9250.00,84,Auvergne-Rhône-Alpes,69,Rhône,GZ,Commerce,2020-07-21
Activite Partielle,1685.00,41510.00,17635790.00,1440.00,84,Auvergne-Rhône-Alpes,69,Rhône,HZ,Transports et entreposage,2020-07-21
Activite Partielle,5530.00,41805.00,22532265.00,4685.00,84,Auvergne-Rhône-Alpes,69,Rhône,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,1610.00,24410.00,9099990.00,1360.00,84,Auvergne-Rhône-Alpes,69,Rhône,JZ,Information et communication,2020-07-21
Activite Partielle,1560.00,9380.00,3792100.00,1400.00,84,Auvergne-Rhône-Alpes,69,Rhône,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,1085.00,6265.00,2552225.00,985.00,84,Auvergne-Rhône-Alpes,69,Rhône,LZ,Activités immobilières,2020-07-21
Activite Partielle,9035.00,129280.00,52271125.00,7930.00,84,Auvergne-Rhône-Alpes,69,Rhône,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,4135.00,40735.00,13637660.00,3630.00,84,Auvergne-Rhône-Alpes,69,Rhône,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,5000.00,30585.00,10168095.00,4190.00,84,Auvergne-Rhône-Alpes,69,Rhône,RU,Autres activités de services,2020-07-21
Activite Partielle,60.00,200.00,79855.00,55.00,84,Auvergne-Rhône-Alpes,73,Savoie,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,285.00,2495.00,836805.00,265.00,84,Auvergne-Rhône-Alpes,73,Savoie,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
