dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,515.00,59690.00,3885765.00,27,Bourgogne-Franche-Comté,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,10460.00,157820.00,9277920.00,27,Bourgogne-Franche-Comté,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1045.00,7705.00,457745.00,27,Bourgogne-Franche-Comté,DE,Industries extractives,2020-10-27
Activite Partielle,15910.00,82995.00,5764510.00,27,Bourgogne-Franche-Comté,FZ,Construction,2020-10-27
Activite Partielle,35290.00,163215.00,11412685.00,27,Bourgogne-Franche-Comté,GZ,Commerce,2020-10-27
Activite Partielle,4980.00,56585.00,3188150.00,27,Bourgogne-Franche-Comté,HZ,Transports et entreposage,2020-10-27
Activite Partielle,22405.00,105935.00,8597350.00,27,Bourgogne-Franche-Comté,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,1625.00,6150.00,435270.00,27,Bourgogne-Franche-Comté,JZ,Information et communication,2020-10-27
Activite Partielle,3380.00,10230.00,640770.00,27,Bourgogne-Franche-Comté,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,2035.00,7520.00,522285.00,27,Bourgogne-Franche-Comté,LZ,Activités immobilières,2020-10-27
Activite Partielle,17595.00,128345.00,7325350.00,27,Bourgogne-Franche-Comté,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,11065.00,60175.00,2938720.00,27,Bourgogne-Franche-Comté,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,16790.00,63965.00,4175345.00,27,Bourgogne-Franche-Comté,RU,Autres activités de services,2020-10-27
Activite Partielle,2780.00,8995.00,634685.00,53,Bretagne,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,5375.00,34190.00,1932015.00,53,Bretagne,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,1070.00,25405.00,1317100.00,53,Bretagne,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,510.00,18510.00,1201835.00,53,Bretagne,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,7805.00,87525.00,5104905.00,53,Bretagne,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1005.00,7185.00,403780.00,53,Bretagne,DE,Industries extractives,2020-10-27
Activite Partielle,21835.00,122295.00,8282030.00,53,Bretagne,FZ,Construction,2020-10-27
Activite Partielle,43065.00,198195.00,13636030.00,53,Bretagne,GZ,Commerce,2020-10-27
Activite Partielle,5015.00,63350.00,3683160.00,53,Bretagne,HZ,Transports et entreposage,2020-10-27
Activite Partielle,31335.00,147505.00,11836675.00,53,Bretagne,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,3025.00,22545.00,1380350.00,53,Bretagne,JZ,Information et communication,2020-10-27
Activite Partielle,4430.00,15135.00,920105.00,53,Bretagne,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,3325.00,10740.00,787350.00,53,Bretagne,LZ,Activités immobilières,2020-10-27
Activite Partielle,23675.00,150735.00,8426145.00,53,Bretagne,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,13360.00,73930.00,3528740.00,53,Bretagne,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,21735.00,85045.00,5303930.00,53,Bretagne,RU,Autres activités de services,2020-10-27
Activite Partielle,1345.00,3265.00,218430.00,24,Centre-Val de Loire,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,3010.00,17015.00,1061400.00,24,Centre-Val de Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,1330.00,36635.00,2010335.00,24,Centre-Val de Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,355.00,22180.00,1304255.00,24,Centre-Val de Loire,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,7970.00,107240.00,6456855.00,24,Centre-Val de Loire,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,875.00,5900.00,357025.00,24,Centre-Val de Loire,DE,Industries extractives,2020-10-27
Activite Partielle,16380.00,92590.00,6709815.00,24,Centre-Val de Loire,FZ,Construction,2020-10-27
Activite Partielle,29155.00,143350.00,10148920.00,24,Centre-Val de Loire,GZ,Commerce,2020-10-27
Activite Partielle,4765.00,53575.00,2965940.00,24,Centre-Val de Loire,HZ,Transports et entreposage,2020-10-27
Activite Partielle,19725.00,95175.00,7728895.00,24,Centre-Val de Loire,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,1870.00,10405.00,680955.00,24,Centre-Val de Loire,JZ,Information et communication,2020-10-27
Activite Partielle,3160.00,8725.00,565820.00,24,Centre-Val de Loire,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,2090.00,7845.00,539700.00,24,Centre-Val de Loire,LZ,Activités immobilières,2020-10-27
Activite Partielle,16385.00,111125.00,6310105.00,24,Centre-Val de Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,9845.00,56540.00,2820940.00,24,Centre-Val de Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,16550.00,58255.00,3745250.00,24,Centre-Val de Loire,RU,Autres activités de services,2020-10-27
Activite Partielle,590.00,1555.00,128415.00,94,Corse,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,1135.00,5260.00,425705.00,94,Corse,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,60.00,300.00,21775.00,94,Corse,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,40.00,1135.00,76220.00,94,Corse,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,905.00,3290.00,270910.00,94,Corse,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,185.00,1055.00,70235.00,94,Corse,DE,Industries extractives,2020-10-27
Activite Partielle,5125.00,22645.00,1943110.00,94,Corse,FZ,Construction,2020-10-27
Activite Partielle,7970.00,29670.00,2353845.00,94,Corse,GZ,Commerce,2020-10-27
Activite Partielle,1255.00,9360.00,736405.00,94,Corse,HZ,Transports et entreposage,2020-10-27
Activite Partielle,7080.00,27005.00,2554355.00,94,Corse,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,425.00,1675.00,119435.00,94,Corse,JZ,Information et communication,2020-10-27
Activite Partielle,735.00,1990.00,152420.00,94,Corse,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,995.00,2510.00,205995.00,94,Corse,LZ,Activités immobilières,2020-10-27
Activite Partielle,4065.00,16665.00,1242800.00,94,Corse,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,1770.00,8050.00,500800.00,94,Corse,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,2680.00,8980.00,736190.00,94,Corse,RU,Autres activités de services,2020-10-27
Activite Partielle,3455.00,7975.00,532790.00,44,Grand Est,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,8605.00,51170.00,3169315.00,44,Grand Est,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,75.00,7695.00,44,Grand Est,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,2705.00,67500.00,3564385.00,44,Grand Est,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,785.00,88030.00,5811175.00,44,Grand Est,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,17385.00,255360.00,15355490.00,44,Grand Est,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2020.00,15085.00,973455.00,44,Grand Est,DE,Industries extractives,2020-10-27
Activite Partielle,36520.00,200650.00,14591760.00,44,Grand Est,FZ,Construction,2020-10-27
Activite Partielle,74735.00,364485.00,25635570.00,44,Grand Est,GZ,Commerce,2020-10-27
Activite Partielle,9965.00,128860.00,8494425.00,44,Grand Est,HZ,Transports et entreposage,2020-10-27
Activite Partielle,47125.00,261710.00,21164115.00,44,Grand Est,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,4485.00,25110.00,1656275.00,44,Grand Est,JZ,Information et communication,2020-10-27
Activite Partielle,7400.00,21415.00,1356390.00,44,Grand Est,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,4685.00,16245.00,1142165.00,44,Grand Est,LZ,Activités immobilières,2020-10-27
Activite Partielle,38310.00,271070.00,15393605.00,44,Grand Est,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,26745.00,156425.00,8083340.00,44,Grand Est,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,30605.00,128245.00,8385540.00,44,Grand Est,RU,Autres activités de services,2020-10-27
Activite Partielle,280.00,885.00,63270.00,01,Guadeloupe,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,1240.00,5130.00,403660.00,01,Guadeloupe,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,120.00,445.00,28700.00,01,Guadeloupe,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,15.00,95.00,8365.00,01,Guadeloupe,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,1480.00,6940.00,528165.00,01,Guadeloupe,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,240.00,1465.00,110910.00,01,Guadeloupe,DE,Industries extractives,2020-10-27
Activite Partielle,3495.00,15775.00,1347320.00,01,Guadeloupe,FZ,Construction,2020-10-27
Activite Partielle,8015.00,29175.00,2217340.00,01,Guadeloupe,GZ,Commerce,2020-10-27
Activite Partielle,1560.00,9755.00,804490.00,01,Guadeloupe,HZ,Transports et entreposage,2020-10-27
Activite Partielle,4860.00,31985.00,3157545.00,01,Guadeloupe,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,565.00,2490.00,201895.00,01,Guadeloupe,JZ,Information et communication,2020-10-27
Activite Partielle,740.00,2375.00,191905.00,01,Guadeloupe,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,785.00,2030.00,177010.00,01,Guadeloupe,LZ,Activités immobilières,2020-10-27
Activite Partielle,5090.00,20760.00,1575025.00,01,Guadeloupe,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,2355.00,12550.00,875340.00,01,Guadeloupe,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,2485.00,8700.00,722050.00,01,Guadeloupe,RU,Autres activités de services,2020-10-27
Activite Partielle,95.00,240.00,20545.00,03,Guyane,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,220.00,1425.00,100720.00,03,Guyane,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,20.00,90.00,5535.00,03,Guyane,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,0.00,155.00,11340.00,03,Guyane,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,670.00,3005.00,220985.00,03,Guyane,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,165.00,875.00,76915.00,03,Guyane,DE,Industries extractives,2020-10-27
Activite Partielle,1160.00,4860.00,389210.00,03,Guyane,FZ,Construction,2020-10-27
Activite Partielle,2395.00,8325.00,594240.00,03,Guyane,GZ,Commerce,2020-10-27
Activite Partielle,740.00,5660.00,454350.00,03,Guyane,HZ,Transports et entreposage,2020-10-27
Activite Partielle,1610.00,8445.00,793275.00,03,Guyane,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,200.00,585.00,45905.00,03,Guyane,JZ,Information et communication,2020-10-27
Activite Partielle,285.00,755.00,61115.00,03,Guyane,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,130.00,330.00,24925.00,03,Guyane,LZ,Activités immobilières,2020-10-27
Activite Partielle,1365.00,6970.00,471575.00,03,Guyane,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,885.00,5180.00,407260.00,03,Guyane,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,1050.00,3720.00,316440.00,03,Guyane,RU,Autres activités de services,2020-10-27
Activite Partielle,1905.00,5625.00,392235.00,32,Hauts-de-France,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,5385.00,33475.00,1939530.00,32,Hauts-de-France,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,15.00,250.00,9895.00,32,Hauts-de-France,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,1785.00,38255.00,2210705.00,32,Hauts-de-France,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,630.00,89065.00,5657845.00,32,Hauts-de-France,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,15170.00,248065.00,14954625.00,32,Hauts-de-France,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1715.00,15315.00,931020.00,32,Hauts-de-France,DE,Industries extractives,2020-10-27
Activite Partielle,31810.00,203380.00,15072985.00,32,Hauts-de-France,FZ,Construction,2020-10-27
Activite Partielle,64220.00,353360.00,24955895.00,32,Hauts-de-France,GZ,Commerce,2020-10-27
Activite Partielle,10625.00,135110.00,7839985.00,32,Hauts-de-France,HZ,Transports et entreposage,2020-10-27
Activite Partielle,41365.00,232915.00,18254320.00,32,Hauts-de-France,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,4920.00,37770.00,2616410.00,32,Hauts-de-France,JZ,Information et communication,2020-10-27
Activite Partielle,7100.00,22090.00,1469660.00,32,Hauts-de-France,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,4790.00,15990.00,1167930.00,32,Hauts-de-France,LZ,Activités immobilières,2020-10-27
Activite Partielle,37235.00,310515.00,18687875.00,32,Hauts-de-France,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,22225.00,140435.00,7637475.00,32,Hauts-de-France,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,29940.00,128455.00,8376310.00,32,Hauts-de-France,RU,Autres activités de services,2020-10-27
Activite Partielle,810.00,2655.00,195810.00,11,Île-de-France,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,13365.00,75300.00,6055275.00,11,Île-de-France,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,10.00,365.00,21440.00,11,Île-de-France,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,4185.00,84775.00,4628720.00,11,Île-de-France,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,850.00,161625.00,9542435.00,11,Île-de-France,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,26275.00,246540.00,17175075.00,11,Île-de-France,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2800.00,33995.00,2292905.00,11,Île-de-France,DE,Industries extractives,2020-10-27
Activite Partielle,103995.00,651735.00,55365840.00,11,Île-de-France,FZ,Construction,2020-10-27
Activite Partielle,191120.00,1165535.00,89586630.00,11,Île-de-France,GZ,Commerce,2020-10-27
Activite Partielle,43170.00,729895.00,52882410.00,11,Île-de-France,HZ,Transports et entreposage,2020-10-27
Activite Partielle,177195.00,1327285.00,123167555.00,11,Île-de-France,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,45865.00,418920.00,30258295.00,11,Île-de-France,JZ,Information et communication,2020-10-27
Activite Partielle,21340.00,98590.00,7029715.00,11,Île-de-France,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,22640.00,86640.00,6845780.00,11,Île-de-France,LZ,Activités immobilières,2020-10-27
Activite Partielle,160965.00,1565805.00,109771560.00,11,Île-de-France,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,55800.00,355835.00,21566260.00,11,Île-de-France,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,89765.00,540420.00,38964725.00,11,Île-de-France,RU,Autres activités de services,2020-10-27
Activite Partielle,425.00,1925.00,149915.00,04,La Réunion,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,1430.00,8140.00,636285.00,04,La Réunion,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,235.00,1265.00,95180.00,04,La Réunion,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,50.00,190.00,17415.00,04,La Réunion,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,2290.00,12185.00,916175.00,04,La Réunion,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,315.00,2980.00,184500.00,04,La Réunion,DE,Industries extractives,2020-10-27
Activite Partielle,5760.00,33845.00,2709610.00,04,La Réunion,FZ,Construction,2020-10-27
Activite Partielle,10760.00,48625.00,3683150.00,04,La Réunion,GZ,Commerce,2020-10-27
Activite Partielle,2115.00,24025.00,1751950.00,04,La Réunion,HZ,Transports et entreposage,2020-10-27
Activite Partielle,5585.00,33420.00,3052685.00,04,La Réunion,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,725.00,3240.00,257980.00,04,La Réunion,JZ,Information et communication,2020-10-27
Activite Partielle,1240.00,3815.00,252115.00,04,La Réunion,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,700.00,2550.00,184165.00,04,La Réunion,LZ,Activités immobilières,2020-10-27
Activite Partielle,5375.00,30395.00,1968195.00,04,La Réunion,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,4470.00,23155.00,1497610.00,04,La Réunion,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,4755.00,19150.00,1465960.00,04,La Réunion,RU,Autres activités de services,2020-10-27
Activite Partielle,345.00,1975.00,109970.00,02,Martinique,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,680.00,3255.00,230075.00,02,Martinique,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,110.00,10360.00,02,Martinique,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,70.00,230.00,14610.00,02,Martinique,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,20.00,45.00,5520.00,02,Martinique,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,1210.00,5190.00,403195.00,02,Martinique,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,205.00,1265.00,69040.00,02,Martinique,DE,Industries extractives,2020-10-27
Activite Partielle,1930.00,9775.00,807490.00,02,Martinique,FZ,Construction,2020-10-27
Activite Partielle,5040.00,21490.00,1612445.00,02,Martinique,GZ,Commerce,2020-10-27
Activite Partielle,1440.00,13120.00,1067190.00,02,Martinique,HZ,Transports et entreposage,2020-10-27
Activite Partielle,3020.00,19195.00,1772890.00,02,Martinique,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,390.00,1935.00,138755.00,02,Martinique,JZ,Information et communication,2020-10-27
Activite Partielle,690.00,2035.00,149125.00,02,Martinique,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,355.00,965.00,79280.00,02,Martinique,LZ,Activités immobilières,2020-10-27
Activite Partielle,3470.00,17640.00,1209160.00,02,Martinique,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,1715.00,9990.00,680855.00,02,Martinique,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,2170.00,10700.00,793750.00,02,Martinique,RU,Autres activités de services,2020-10-27
Activite Partielle,80.00,270.00,21175.00,06,Mayotte,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,150.00,1065.00,67575.00,06,Mayotte,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,190.00,1075.00,93530.00,06,Mayotte,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,25.00,625.00,47505.00,06,Mayotte,DE,Industries extractives,2020-10-27
Activite Partielle,700.00,6740.00,630565.00,06,Mayotte,FZ,Construction,2020-10-27
Activite Partielle,895.00,3690.00,317855.00,06,Mayotte,GZ,Commerce,2020-10-27
Activite Partielle,480.00,3535.00,320440.00,06,Mayotte,HZ,Transports et entreposage,2020-10-27
Activite Partielle,725.00,3750.00,344215.00,06,Mayotte,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,75.00,345.00,33425.00,06,Mayotte,JZ,Information et communication,2020-10-27
Activite Partielle,35.00,100.00,7485.00,06,Mayotte,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,40.00,245.00,21080.00,06,Mayotte,LZ,Activités immobilières,2020-10-27
Activite Partielle,655.00,3960.00,333955.00,06,Mayotte,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,470.00,3435.00,281115.00,06,Mayotte,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,385.00,1565.00,129480.00,06,Mayotte,RU,Autres activités de services,2020-10-27
Activite Partielle,2685.00,7280.00,536835.00,28,Normandie,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,4695.00,24340.00,1463830.00,28,Normandie,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,10.00,160.00,7320.00,28,Normandie,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,1090.00,25815.00,1382985.00,28,Normandie,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,450.00,59195.00,3586035.00,28,Normandie,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,8760.00,124305.00,7369585.00,28,Normandie,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1040.00,8440.00,518350.00,28,Normandie,DE,Industries extractives,2020-10-27
Activite Partielle,20265.00,122690.00,8569225.00,28,Normandie,FZ,Construction,2020-10-27
Activite Partielle,38985.00,184555.00,12895920.00,28,Normandie,GZ,Commerce,2020-10-27
Activite Partielle,5780.00,67685.00,3713780.00,28,Normandie,HZ,Transports et entreposage,2020-10-27
Activite Partielle,26990.00,128420.00,10690810.00,28,Normandie,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,2380.00,11395.00,746385.00,28,Normandie,JZ,Information et communication,2020-10-27
Activite Partielle,3880.00,13670.00,838520.00,28,Normandie,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,3135.00,10325.00,762635.00,28,Normandie,LZ,Activités immobilières,2020-10-27
Activite Partielle,21270.00,148070.00,8542690.00,28,Normandie,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,12465.00,75400.00,3585910.00,28,Normandie,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,20645.00,81620.00,5305455.00,28,Normandie,RU,Autres activités de services,2020-10-27
Activite Partielle,6135.00,16440.00,1079010.00,75,Nouvelle-Aquitaine,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,9135.00,46805.00,2840700.00,75,Nouvelle-Aquitaine,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,135.00,7055.00,75,Nouvelle-Aquitaine,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,2175.00,38040.00,1958955.00,75,Nouvelle-Aquitaine,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,810.00,57530.00,3254180.00,75,Nouvelle-Aquitaine,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,17185.00,192930.00,11800395.00,75,Nouvelle-Aquitaine,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2140.00,14890.00,895160.00,75,Nouvelle-Aquitaine,DE,Industries extractives,2020-10-27
Activite Partielle,42300.00,211670.00,14704905.00,75,Nouvelle-Aquitaine,FZ,Construction,2020-10-27
Activite Partielle,83370.00,369985.00,26399210.00,75,Nouvelle-Aquitaine,GZ,Commerce,2020-10-27
Activite Partielle,10095.00,113580.00,6490750.00,75,Nouvelle-Aquitaine,HZ,Transports et entreposage,2020-10-27
Activite Partielle,52850.00,266150.00,22595290.00,75,Nouvelle-Aquitaine,IZ,Hébergement et restauration,2020-10-27
