dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,1575.00,33885.00,12800845.00,1480.00,27,Bourgogne-Franche-Comté,HZ,Transports et entreposage,2020-06-02
Activite Partielle,5725.00,31775.00,14553065.00,5235.00,27,Bourgogne-Franche-Comté,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,510.00,3220.00,1317310.00,455.00,27,Bourgogne-Franche-Comté,JZ,Information et communication,2020-06-02
Activite Partielle,1600.00,7070.00,3305860.00,1495.00,27,Bourgogne-Franche-Comté,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,740.00,3745.00,1289445.00,680.00,27,Bourgogne-Franche-Comté,LZ,Activités immobilières,2020-06-02
Activite Partielle,6045.00,80765.00,25409385.00,5605.00,27,Bourgogne-Franche-Comté,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,4185.00,38335.00,11820465.00,3860.00,27,Bourgogne-Franche-Comté,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,5455.00,25390.00,8275525.00,4870.00,27,Bourgogne-Franche-Comté,RU,Autres activités de services,2020-06-02
Activite Partielle,1170.00,6245.00,2833945.00,1110.00,53,Bretagne,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,1840.00,27470.00,11991445.00,1755.00,53,Bretagne,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,350.00,14560.00,6183790.00,320.00,53,Bretagne,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,170.00,11310.00,4040735.00,145.00,53,Bretagne,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,2635.00,50500.00,22362925.00,2440.00,53,Bretagne,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,420.00,5365.00,2175230.00,405.00,53,Bretagne,DE,Industries extractives,2020-06-02
Activite Partielle,8745.00,72580.00,38383525.00,8240.00,53,Bretagne,FZ,Construction,2020-06-02
Activite Partielle,14485.00,94805.00,46472160.00,13825.00,53,Bretagne,GZ,Commerce,2020-06-02
Activite Partielle,1630.00,37315.00,18340135.00,1530.00,53,Bretagne,HZ,Transports et entreposage,2020-06-02
Activite Partielle,8195.00,46900.00,22146170.00,7635.00,53,Bretagne,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,940.00,11860.00,4509890.00,850.00,53,Bretagne,JZ,Information et communication,2020-06-02
Activite Partielle,1820.00,15180.00,5614390.00,1745.00,53,Bretagne,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,1205.00,5315.00,2484545.00,1150.00,53,Bretagne,LZ,Activités immobilières,2020-06-02
Activite Partielle,8365.00,107305.00,38011605.00,7810.00,53,Bretagne,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,4970.00,41515.00,12521230.00,4625.00,53,Bretagne,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,7295.00,34460.00,12532530.00,6380.00,53,Bretagne,RU,Autres activités de services,2020-06-02
Activite Partielle,595.00,2360.00,836960.00,560.00,24,Centre-Val de Loire,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,1000.00,9265.00,4003215.00,945.00,24,Centre-Val de Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,390.00,19035.00,7930165.00,340.00,24,Centre-Val de Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,95.00,8710.00,3609205.00,90.00,24,Centre-Val de Loire,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,2395.00,50500.00,22369425.00,2235.00,24,Centre-Val de Loire,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,370.00,4865.00,1672245.00,340.00,24,Centre-Val de Loire,DE,Industries extractives,2020-06-02
Activite Partielle,6325.00,50875.00,24139425.00,5975.00,24,Centre-Val de Loire,FZ,Construction,2020-06-02
Activite Partielle,9780.00,65665.00,30061345.00,9300.00,24,Centre-Val de Loire,GZ,Commerce,2020-06-02
Activite Partielle,1465.00,32680.00,11659230.00,1395.00,24,Centre-Val de Loire,HZ,Transports et entreposage,2020-06-02
Activite Partielle,5030.00,29290.00,13433020.00,4665.00,24,Centre-Val de Loire,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,560.00,5240.00,1958285.00,520.00,24,Centre-Val de Loire,JZ,Information et communication,2020-06-02
Activite Partielle,1230.00,6380.00,2231545.00,1165.00,24,Centre-Val de Loire,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,740.00,3865.00,1535245.00,705.00,24,Centre-Val de Loire,LZ,Activités immobilières,2020-06-02
Activite Partielle,5555.00,80040.00,24336680.00,5215.00,24,Centre-Val de Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,3585.00,30220.00,9588935.00,3325.00,24,Centre-Val de Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,5345.00,24145.00,7611700.00,4740.00,24,Centre-Val de Loire,RU,Autres activités de services,2020-06-02
Activite Partielle,210.00,850.00,488490.00,205.00,94,Corse,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,290.00,1945.00,1085175.00,290.00,94,Corse,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,15.00,115.00,67155.00,15.00,94,Corse,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,5.00,245.00,219995.00,5.00,94,Corse,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,290.00,1405.00,803730.00,285.00,94,Corse,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,65.00,530.00,335595.00,55.00,94,Corse,DE,Industries extractives,2020-06-02
Activite Partielle,1890.00,11250.00,7275655.00,1840.00,94,Corse,FZ,Construction,2020-06-02
Activite Partielle,2285.00,11865.00,7091430.00,2245.00,94,Corse,GZ,Commerce,2020-06-02
Activite Partielle,350.00,4450.00,1941450.00,345.00,94,Corse,HZ,Transports et entreposage,2020-06-02
Activite Partielle,1625.00,8415.00,5309595.00,1585.00,94,Corse,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,110.00,630.00,312200.00,110.00,94,Corse,JZ,Information et communication,2020-06-02
Activite Partielle,255.00,1095.00,545385.00,250.00,94,Corse,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,280.00,815.00,501475.00,270.00,94,Corse,LZ,Activités immobilières,2020-06-02
Activite Partielle,1200.00,7565.00,3953085.00,1160.00,94,Corse,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,580.00,4840.00,1586885.00,560.00,94,Corse,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,760.00,2915.00,1653695.00,720.00,94,Corse,RU,Autres activités de services,2020-06-02
Activite Partielle,1345.00,5470.00,2394335.00,1290.00,44,Grand Est,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,2605.00,27945.00,12445445.00,2485.00,44,Grand Est,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,775.00,39065.00,18604690.00,705.00,44,Grand Est,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,215.00,43065.00,14431165.00,185.00,44,Grand Est,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,5295.00,127865.00,58637015.00,4895.00,44,Grand Est,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,855.00,11315.00,5243890.00,795.00,44,Grand Est,DE,Industries extractives,2020-06-02
Activite Partielle,13710.00,111205.00,55340645.00,12865.00,44,Grand Est,FZ,Construction,2020-06-02
Activite Partielle,24200.00,162580.00,84877235.00,22905.00,44,Grand Est,GZ,Commerce,2020-06-02
Activite Partielle,3165.00,71220.00,31939385.00,2925.00,44,Grand Est,HZ,Transports et entreposage,2020-06-02
Activite Partielle,11550.00,78025.00,37513770.00,10650.00,44,Grand Est,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,1330.00,11320.00,5415230.00,1235.00,44,Grand Est,JZ,Information et communication,2020-06-02
Activite Partielle,2745.00,11545.00,4669585.00,2610.00,44,Grand Est,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,1650.00,7110.00,2991905.00,1550.00,44,Grand Est,LZ,Activités immobilières,2020-06-02
Activite Partielle,12605.00,171075.00,55458175.00,11750.00,44,Grand Est,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,9665.00,89675.00,30853730.00,8830.00,44,Grand Est,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,9820.00,50050.00,18402275.00,8850.00,44,Grand Est,RU,Autres activités de services,2020-06-02
Activite Partielle,110.00,515.00,202650.00,100.00,01,Guadeloupe,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,410.00,2290.00,918170.00,385.00,01,Guadeloupe,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,40.00,180.00,76050.00,40.00,01,Guadeloupe,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,5.00,30.00,13930.00,5.00,01,Guadeloupe,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,515.00,3120.00,1488245.00,480.00,01,Guadeloupe,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,100.00,965.00,390580.00,95.00,01,Guadeloupe,DE,Industries extractives,2020-06-02
Activite Partielle,1305.00,7735.00,3795785.00,1215.00,01,Guadeloupe,FZ,Construction,2020-06-02
Activite Partielle,2670.00,12395.00,5626770.00,2535.00,01,Guadeloupe,GZ,Commerce,2020-06-02
Activite Partielle,505.00,3920.00,2086475.00,470.00,01,Guadeloupe,HZ,Transports et entreposage,2020-06-02
Activite Partielle,1120.00,9205.00,4742205.00,1035.00,01,Guadeloupe,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,185.00,950.00,455900.00,170.00,01,Guadeloupe,JZ,Information et communication,2020-06-02
Activite Partielle,290.00,1160.00,539760.00,275.00,01,Guadeloupe,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,230.00,675.00,298835.00,215.00,01,Guadeloupe,LZ,Activités immobilières,2020-06-02
Activite Partielle,1625.00,11685.00,4062345.00,1515.00,01,Guadeloupe,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,800.00,6465.00,2404080.00,740.00,01,Guadeloupe,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,755.00,3100.00,1256075.00,700.00,01,Guadeloupe,RU,Autres activités de services,2020-06-02
Activite Partielle,35.00,115.00,47935.00,30.00,03,Guyane,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,65.00,555.00,214795.00,55.00,03,Guyane,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,5.00,45.00,16565.00,5.00,03,Guyane,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,225.00,1440.00,591160.00,195.00,03,Guyane,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,60.00,545.00,197420.00,55.00,03,Guyane,DE,Industries extractives,2020-06-02
Activite Partielle,405.00,2730.00,1020230.00,340.00,03,Guyane,FZ,Construction,2020-06-02
Activite Partielle,830.00,4015.00,1811675.00,715.00,03,Guyane,GZ,Commerce,2020-06-02
Activite Partielle,190.00,1760.00,825045.00,170.00,03,Guyane,HZ,Transports et entreposage,2020-06-02
Activite Partielle,390.00,2220.00,930900.00,310.00,03,Guyane,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,55.00,240.00,100015.00,55.00,03,Guyane,JZ,Information et communication,2020-06-02
Activite Partielle,95.00,305.00,140085.00,80.00,03,Guyane,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,45.00,145.00,70995.00,40.00,03,Guyane,LZ,Activités immobilières,2020-06-02
Activite Partielle,440.00,3950.00,1306170.00,400.00,03,Guyane,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,295.00,2070.00,769920.00,240.00,03,Guyane,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,295.00,1255.00,529345.00,245.00,03,Guyane,RU,Autres activités de services,2020-06-02
Activite Partielle,790.00,3525.00,1759110.00,675.00,32,Hauts-de-France,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,1825.00,21285.00,10263215.00,1740.00,32,Hauts-de-France,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,555.00,21570.00,10872980.00,485.00,32,Hauts-de-France,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,195.00,49105.00,19918820.00,165.00,32,Hauts-de-France,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,4780.00,118555.00,63528765.00,4275.00,32,Hauts-de-France,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,655.00,11490.00,5223450.00,635.00,32,Hauts-de-France,DE,Industries extractives,2020-06-02
Activite Partielle,12005.00,111620.00,58135585.00,11090.00,32,Hauts-de-France,FZ,Construction,2020-06-02
Activite Partielle,21430.00,165940.00,82723925.00,20115.00,32,Hauts-de-France,GZ,Commerce,2020-06-02
Activite Partielle,3305.00,78675.00,35573305.00,3065.00,32,Hauts-de-France,HZ,Transports et entreposage,2020-06-02
Activite Partielle,10605.00,72205.00,37560600.00,9675.00,32,Hauts-de-France,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,1440.00,18990.00,8093590.00,1290.00,32,Hauts-de-France,JZ,Information et communication,2020-06-02
Activite Partielle,2670.00,12685.00,5408875.00,2500.00,32,Hauts-de-France,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,1730.00,8575.00,3656335.00,1595.00,32,Hauts-de-France,LZ,Activités immobilières,2020-06-02
Activite Partielle,12440.00,202600.00,71163175.00,11425.00,32,Hauts-de-France,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,8135.00,79760.00,27524975.00,7465.00,32,Hauts-de-France,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,9935.00,55605.00,20137195.00,8600.00,32,Hauts-de-France,RU,Autres activités de services,2020-06-02
Activite Partielle,175.00,1265.00,661795.00,170.00,04,La Réunion,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,475.00,4640.00,1995580.00,450.00,04,La Réunion,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,85.00,735.00,363085.00,70.00,04,La Réunion,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,20.00,95.00,38790.00,20.00,04,La Réunion,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,800.00,5920.00,3075625.00,750.00,04,La Réunion,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,130.00,2195.00,860095.00,115.00,04,La Réunion,DE,Industries extractives,2020-06-02
Activite Partielle,2195.00,16635.00,7888465.00,2040.00,04,La Réunion,FZ,Construction,2020-06-02
Activite Partielle,3865.00,22980.00,12556800.00,3645.00,04,La Réunion,GZ,Commerce,2020-06-02
Activite Partielle,720.00,9450.00,5036115.00,675.00,04,La Réunion,HZ,Transports et entreposage,2020-06-02
Activite Partielle,1470.00,10310.00,5552025.00,1365.00,04,La Réunion,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,240.00,1690.00,729465.00,225.00,04,La Réunion,JZ,Information et communication,2020-06-02
Activite Partielle,510.00,2310.00,1020315.00,485.00,04,La Réunion,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,255.00,1125.00,520375.00,240.00,04,La Réunion,LZ,Activités immobilières,2020-06-02
Activite Partielle,1855.00,16575.00,6867810.00,1745.00,04,La Réunion,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,1635.00,11810.00,4459590.00,1530.00,04,La Réunion,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,1555.00,7910.00,3023900.00,1445.00,04,La Réunion,RU,Autres activités de services,2020-06-02
Activite Partielle,125.00,950.00,363775.00,110.00,02,Martinique,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,235.00,1680.00,692100.00,215.00,02,Martinique,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,25.00,115.00,45680.00,25.00,02,Martinique,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,10.00,30.00,15875.00,10.00,02,Martinique,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,430.00,2430.00,1287410.00,385.00,02,Martinique,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,80.00,860.00,373340.00,70.00,02,Martinique,DE,Industries extractives,2020-06-02
Activite Partielle,840.00,5360.00,2563525.00,735.00,02,Martinique,FZ,Construction,2020-06-02
Activite Partielle,1860.00,9860.00,5098725.00,1695.00,02,Martinique,GZ,Commerce,2020-06-02
Activite Partielle,455.00,4635.00,2190550.00,415.00,02,Martinique,HZ,Transports et entreposage,2020-06-02
Activite Partielle,775.00,5825.00,2908045.00,715.00,02,Martinique,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,135.00,830.00,293230.00,120.00,02,Martinique,JZ,Information et communication,2020-06-02
Activite Partielle,290.00,1240.00,490150.00,270.00,02,Martinique,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,135.00,405.00,260305.00,125.00,02,Martinique,LZ,Activités immobilières,2020-06-02
Activite Partielle,1250.00,11420.00,4139205.00,1110.00,02,Martinique,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,630.00,5330.00,1717865.00,580.00,02,Martinique,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,725.00,4025.00,1745815.00,645.00,02,Martinique,RU,Autres activités de services,2020-06-02
Activite Partielle,15.00,60.00,19185.00,15.00,06,Mayotte,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,45.00,465.00,291865.00,40.00,06,Mayotte,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,65.00,545.00,269880.00,60.00,06,Mayotte,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,10.00,435.00,148485.00,5.00,06,Mayotte,DE,Industries extractives,2020-06-02
Activite Partielle,210.00,3185.00,1343340.00,180.00,06,Mayotte,FZ,Construction,2020-06-02
Activite Partielle,320.00,1795.00,1005985.00,280.00,06,Mayotte,GZ,Commerce,2020-06-02
Activite Partielle,145.00,1125.00,596430.00,125.00,06,Mayotte,HZ,Transports et entreposage,2020-06-02
Activite Partielle,185.00,1005.00,411235.00,135.00,06,Mayotte,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,25.00,120.00,70965.00,25.00,06,Mayotte,JZ,Information et communication,2020-06-02
Activite Partielle,15.00,80.00,46185.00,15.00,06,Mayotte,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,15.00,175.00,100285.00,15.00,06,Mayotte,LZ,Activités immobilières,2020-06-02
Activite Partielle,220.00,1850.00,738870.00,195.00,06,Mayotte,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,155.00,2000.00,695920.00,125.00,06,Mayotte,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,140.00,760.00,218245.00,110.00,06,Mayotte,RU,Autres activités de services,2020-06-02
Activite Partielle,1005.00,3695.00,1493130.00,925.00,28,Normandie,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,1580.00,14235.00,5383345.00,1500.00,28,Normandie,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,5.00,175.00,64785.00,5.00,28,Normandie,C2,Cokéfaction et raffinage,2020-06-02
Activite Partielle,340.00,16010.00,6784590.00,305.00,28,Normandie,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,125.00,24765.00,13344725.00,120.00,28,Normandie,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,2770.00,65665.00,32218270.00,2535.00,28,Normandie,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,445.00,7775.00,3427215.00,435.00,28,Normandie,DE,Industries extractives,2020-06-02
Activite Partielle,7895.00,71575.00,37902310.00,7370.00,28,Normandie,FZ,Construction,2020-06-02
Activite Partielle,13285.00,91430.00,44068575.00,12575.00,28,Normandie,GZ,Commerce,2020-06-02
Activite Partielle,1845.00,46935.00,19746505.00,1685.00,28,Normandie,HZ,Transports et entreposage,2020-06-02
Activite Partielle,7010.00,40710.00,20352905.00,6520.00,28,Normandie,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,715.00,5525.00,2390850.00,645.00,28,Normandie,JZ,Information et communication,2020-06-02
Activite Partielle,1680.00,7990.00,3260720.00,1580.00,28,Normandie,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,1135.00,6200.00,2474235.00,1075.00,28,Normandie,LZ,Activités immobilières,2020-06-02
Activite Partielle,7285.00,107480.00,38278500.00,6705.00,28,Normandie,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,4530.00,44655.00,14156660.00,4165.00,28,Normandie,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,6795.00,33635.00,11385665.00,5980.00,28,Normandie,RU,Autres activités de services,2020-06-02
Activite Partielle,2535.00,10620.00,4610145.00,2310.00,75,Nouvelle-Aquitaine,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,3070.00,27505.00,11920770.00,2895.00,75,Nouvelle-Aquitaine,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,685.00,24440.00,11586770.00,620.00,75,Nouvelle-Aquitaine,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,250.00,26400.00,13085020.00,220.00,75,Nouvelle-Aquitaine,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,5675.00,97005.00,46524420.00,5195.00,75,Nouvelle-Aquitaine,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,885.00,9835.00,4281955.00,850.00,75,Nouvelle-Aquitaine,DE,Industries extractives,2020-06-02
Activite Partielle,16805.00,122285.00,64763365.00,15830.00,75,Nouvelle-Aquitaine,FZ,Construction,2020-06-02
Activite Partielle,28205.00,174725.00,89168150.00,26775.00,75,Nouvelle-Aquitaine,GZ,Commerce,2020-06-02
Activite Partielle,3215.00,63265.00,27561715.00,3005.00,75,Nouvelle-Aquitaine,HZ,Transports et entreposage,2020-06-02
Activite Partielle,13700.00,84320.00,47366170.00,12690.00,75,Nouvelle-Aquitaine,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,1770.00,17165.00,7414410.00,1605.00,75,Nouvelle-Aquitaine,JZ,Information et communication,2020-06-02
Activite Partielle,3880.00,17065.00,7827105.00,3635.00,75,Nouvelle-Aquitaine,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,2945.00,10920.00,5566570.00,2795.00,75,Nouvelle-Aquitaine,LZ,Activités immobilières,2020-06-02
Activite Partielle,15895.00,184245.00,65930190.00,14750.00,75,Nouvelle-Aquitaine,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,9770.00,85095.00,28432240.00,8935.00,75,Nouvelle-Aquitaine,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
